"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","636","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","4.057212","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","1","1","8.535903","0","11"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","1","1","2.813070","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","1.621430","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","1.608193","0","3"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","21","34","1","1","34.610424","0","628"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","21","44","1","1","40.476116","0","1019"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","21","34","2","1","34.495140","0","602"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","1.644770","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","30","1","1","31.738407","0","448"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","15","7","1","15.664721","0","107"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","1.672615","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","1.607820","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","4","1","1","2.597026","0","10"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","21","2","2","1","1.726258","0","3"
"/Game/Materials/M_Table.M_Table","21","15","1","1","13.262663","0","129"
"/Game/Materials/M_Puck.M_Puck","21","15","1","1","15.664602","0","134"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","75","1","1","72.840454","0","1348"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","75","1","1","70.696846","0","949"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","30","1","1","28.000273","0","259"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","1.680154","0","3"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","75","1","1","84.961296","0","1100"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","4","1","1","2.919025","0","10"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","1","1","3.109002","0","10"
